yourlist:M20191024E5A08BB0B2D1C45B0C7BC3B55FD265564DCC6CI	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]	Topological domain
P30486	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30487	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30488	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30490	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30491	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30492	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30493	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30495	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30498	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30685	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q04826	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q29718	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q29836	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q29940	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q31610	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q31612	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q95365	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
Q9BZG9	SLUR2_HUMAN	reviewed	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	SLURP2	Homo sapiens (Human)	97		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16575903}.	
Q9BZG9	LYNX1_HUMAN	reviewed	Ly-6/neurotoxin-like protein 1 (Endogenous prototoxin LYNX1) (Testicular tissue protein Li 112)	LYNX1	Homo sapiens (Human)	116		SUBCELLULAR LOCATION: Cell membrane {ECO:0000255}; Lipid-anchor, GPI-anchor {ECO:0000255}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:P0DP60}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P0DP60}. Note=Detected in Purkinje cells soma and proximal dendrites. {ECO:0000250|UniProtKB:P0DP60}.	
Q9H2Q1	TM133_HUMAN		Deleted.						
Q9NSE7	ABCCD_HUMAN		Deleted.						
P04222	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30499	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30501	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30504	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30505	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30508	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
P30510	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q07000	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q29865	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q29960	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q29963	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q95604	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
Q9TNN7	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366	TRANSMEM 309 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 334 366 Cytoplasmic. {ECO:0000255}.
