Q6ZS62	len=124	ExpAA=23.82	First60=1.39	PredHel=1	Topology=o75-97i
O60307	len=1309	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Q99877	len=126	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BRA0	len=125	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P60842	len=406	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q8NBJ5	len=622	ExpAA=4.03	First60=4.02	PredHel=0	Topology=o
Q96FT9	len=208	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P38919	len=411	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
P46199	len=727	ExpAA=0.10	First60=0.09	PredHel=0	Topology=o
Q8NHS3	len=518	ExpAA=262.20	First60=20.15	PredHel=12	Topology=i41-63o78-100i107-129o133-152i172-194o209-231i268-290o305-327i339-361o416-438i451-473o483-502i
Q9BXB1	len=951	ExpAA=155.64	First60=0.71	PredHel=7	Topology=o546-568i575-597o620-642i662-684o704-726i750-772o787-804i
Q49MG5	len=647	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P27352	len=417	ExpAA=0.14	First60=0.10	PredHel=0	Topology=o
P01591	len=159	ExpAA=0.70	First60=0.70	PredHel=0	Topology=o
A9UHW6	len=222	ExpAA=10.62	First60=0.00	PredHel=0	Topology=o
P41134	len=155	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9HC24	len=238	ExpAA=145.54	First60=21.36	PredHel=7	Topology=i38-60o70-89i96-118o123-145i152-174o179-196i209-231o
Q9BQD3	len=176	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
O60243	len=411	ExpAA=20.34	First60=20.34	PredHel=1	Topology=i20-37o
Q96DB2	len=347	ExpAA=7.10	First60=0.00	PredHel=0	Topology=o
Q8N4Q1	len=142	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
A0A0A0MS14	len=117	ExpAA=0.32	First60=0.31	PredHel=0	Topology=o
A6NM36	len=301	ExpAA=0.45	First60=0.00	PredHel=0	Topology=o
P01817	len=119	ExpAA=2.99	First60=2.98	PredHel=0	Topology=o
Q86YC3	len=692	ExpAA=22.96	First60=0.03	PredHel=1	Topology=o652-674i
Q6UX01	len=489	ExpAA=202.46	First60=21.16	PredHel=9	Topology=o20-42i63-85o112-134i154-176o196-218i297-319o350-372i393-415o430-452i
Q9H422	len=1215	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q12794	len=435	ExpAA=3.24	First60=2.99	PredHel=0	Topology=o
Q14653	len=427	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Q92833	len=1246	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
P17931	len=250	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
P54317	len=469	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q12891	len=473	ExpAA=1.79	First60=0.51	PredHel=0	Topology=o
Q17RR3	len=467	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q86VZ6	len=243	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q6B0K9	len=141	ExpAA=0.06	First60=0.02	PredHel=0	Topology=o
P08631	len=526	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
Q15040	len=202	ExpAA=6.05	First60=0.00	PredHel=0	Topology=o
O75578	len=1167	ExpAA=30.49	First60=0.62	PredHel=1	Topology=o1123-1145i
Q5DT21	len=86	ExpAA=14.11	First60=14.11	PredHel=1	Topology=o4-23i
Q9Y3Q4	len=1203	ExpAA=97.34	First60=0.00	PredHel=2	Topology=o265-287i493-515o
O15550	len=1401	ExpAA=5.52	First60=0.04	PredHel=0	Topology=o
P35475	len=653	ExpAA=1.10	First60=1.10	PredHel=0	Topology=o
Q14681	len=263	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q701N2	len=237	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8N7A1	len=406	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
Q8NI35	len=1801	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Q8IXL9	len=164	ExpAA=0.28	First60=0.03	PredHel=0	Topology=o
Q96J84	len=757	ExpAA=23.26	First60=0.01	PredHel=1	Topology=o497-519i
Q9NRJ5	len=636	ExpAA=0.78	First60=0.00	PredHel=0	Topology=o
Q9P2G9	len=620	ExpAA=0.47	First60=0.00	PredHel=0	Topology=o
Q96M98	len=296	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q8NGY1	len=313	ExpAA=154.47	First60=24.11	PredHel=7	Topology=o25-47i60-82o92-114i144-166o204-226i238-260o273-292i
Q8NGP4	len=307	ExpAA=139.14	First60=24.20	PredHel=6	Topology=i25-47o96-118i138-160o202-224i236-258o273-290i
P22059	len=807	ExpAA=1.42	First60=1.32	PredHel=0	Topology=o
Q96RD1	len=312	ExpAA=144.08	First60=24.16	PredHel=7	Topology=o24-46i59-81o96-118i138-160o202-224i236-258o273-290i
Q9BU68	len=103	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NYI0	len=1048	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BRQ3	len=303	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
O95178	len=105	ExpAA=1.42	First60=0.45	PredHel=0	Topology=o
Q8N3A8	len=854	ExpAA=1.71	First60=0.00	PredHel=0	Topology=o
Q96RG2	len=1323	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q8N8N7	len=351	ExpAA=1.09	First60=0.00	PredHel=0	Topology=o
A6NMU1	len=304	ExpAA=150.04	First60=42.52	PredHel=7	Topology=o5-24i31-53o63-82i89-108o145-167i209-231o251-273i
Q6ZRP0	len=262	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
A6NGY5	len=319	ExpAA=146.30	First60=23.10	PredHel=7	Topology=o35-57i70-92o107-129i150-172o209-231i243-265o280-300i
Q9UBU8	len=362	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
P49247	len=311	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q96DM3	len=657	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Q96TC7	len=470	ExpAA=21.85	First60=21.78	PredHel=1	Topology=i13-35o
Q00577	len=322	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q96NR8	len=316	ExpAA=12.54	First60=12.51	PredHel=0	Topology=o
Q06203	len=517	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q8WZ75	len=1007	ExpAA=1.53	First60=0.69	PredHel=0	Topology=o
Q9Y5Y4	len=395	ExpAA=153.85	First60=22.74	PredHel=7	Topology=o36-58i71-93o108-127i147-169o212-231i244-266o286-308i
Q9BPV8	len=354	ExpAA=129.56	First60=14.39	PredHel=6	Topology=i45-67o121-143i164-181o214-236i257-274o302-321i
Q01813	len=784	ExpAA=2.44	First60=0.84	PredHel=0	Topology=o
Q99575	len=1024	ExpAA=0.17	First60=0.00	PredHel=0	Topology=o
O95522	len=483	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q8NH07	len=326	ExpAA=152.13	First60=20.30	PredHel=7	Topology=o42-64i76-98o113-135i156-178o219-241i253-275o290-307i
O43464	len=458	ExpAA=21.42	First60=0.00	PredHel=1	Topology=i105-124o
Q86V24	len=386	ExpAA=149.35	First60=0.00	PredHel=7	Topology=i146-168o183-205i218-237o247-264i276-298o308-330i343-365o
Q9BSG0	len=188	ExpAA=28.27	First60=19.70	PredHel=1	Topology=o4-26i
A0A087WUL8	len=3843	ExpAA=4.75	First60=0.00	PredHel=0	Topology=o
Q5VWM3	len=479	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Q9NZJ9	len=180	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9C0D0	len=580	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NGT2	len=312	ExpAA=152.63	First60=23.43	PredHel=7	Topology=o26-48i61-83o98-120i140-162o204-226i238-260o275-292i
Q8NCW5	len=288	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
A6NGN4	len=478	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P49335	len=361	ExpAA=0.37	First60=0.00	PredHel=0	Topology=o
Q9UGN5	len=583	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P11137	len=1827	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
A0A0C5B5G6	len=16	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
P05186	len=524	ExpAA=3.54	First60=0.04	PredHel=0	Topology=o
Q8NC96	len=275	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P35232	len=272	ExpAA=11.35	First60=11.35	PredHel=0	Topology=o
O75694	len=1391	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Q14112	len=1375	ExpAA=11.92	First60=11.91	PredHel=0	Topology=o
Q8N9H8	len=876	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NH16	len=312	ExpAA=148.11	First60=27.19	PredHel=7	Topology=o25-47i60-82o97-119i139-161o203-225i237-259o272-291i
Q7Z3T1	len=314	ExpAA=155.23	First60=23.11	PredHel=7	Topology=o26-48i61-83o98-120i140-162o199-221i241-260o270-292i
Q8WXI9	len=593	ExpAA=0.27	First60=0.00	PredHel=0	Topology=o
Q15761	len=445	ExpAA=157.06	First60=18.10	PredHel=7	Topology=o44-66i78-100o115-137i157-179o207-229i366-388o403-425i
P54278	len=862	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Q96RD0	len=313	ExpAA=164.67	First60=25.15	PredHel=8	Topology=i27-49o59-77i98-120o146-168i181-203o207-226i238-260o275-292i
Q9H6A9	len=2034	ExpAA=235.11	First60=24.85	PredHel=11	Topology=i36-53o57-79i790-812o819-836i849-871o881-900i909-931o946-968i981-1000o1053-1075i1077-1099o
Q96MF7	len=247	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
P49116	len=596	ExpAA=0.80	First60=0.00	PredHel=0	Topology=o
Q9NRN5	len=406	ExpAA=0.53	First60=0.06	PredHel=0	Topology=o
Q9NZ42	len=101	ExpAA=42.92	First60=24.70	PredHel=2	Topology=i19-41o56-78i
Q96R72	len=315	ExpAA=152.84	First60=24.59	PredHel=7	Topology=o25-47i59-78o98-120i141-163o203-225i238-260o270-289i
Q68BL8	len=750	ExpAA=23.45	First60=21.39	PredHel=1	Topology=i7-29o
O14829	len=653	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
Q96NK8	len=337	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q13438	len=667	ExpAA=21.86	First60=21.86	PredHel=1	Topology=i7-29o
Q8NGK4	len=314	ExpAA=158.41	First60=24.22	PredHel=7	Topology=o29-51i63-85o100-122i134-156o202-224i237-259o274-296i
Q8NGK6	len=324	ExpAA=153.32	First60=22.96	PredHel=7	Topology=o28-50i63-82o102-124i144-166o204-226i247-269o279-298i
Q8N0Y3	len=316	ExpAA=152.57	First60=25.31	PredHel=7	Topology=o25-47i59-78o98-120i141-163o200-222i243-265o270-289i
Q8NGD0	len=313	ExpAA=150.47	First60=25.18	PredHel=7	Topology=o24-46i59-78o98-120i141-163o203-225i238-260o275-292i
Q8NGD1	len=307	ExpAA=151.36	First60=25.18	PredHel=7	Topology=o25-47i59-78o98-120i141-163o200-222i235-257o272-289i
Q8IXE1	len=308	ExpAA=153.21	First60=24.90	PredHel=7	Topology=o25-47i59-78o98-120i141-163o200-222i243-265o270-289i
O43272	len=600	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Q13200	len=908	ExpAA=2.16	First60=0.00	PredHel=0	Topology=o
Q15619	len=314	ExpAA=158.76	First60=23.14	PredHel=8	Topology=i29-51o66-88i101-123o133-151i156-178o198-220i241-260o275-292i
Q8NGH6	len=319	ExpAA=152.52	First60=18.71	PredHel=7	Topology=o45-67i79-101o116-138i158-180o218-240i253-275o290-312i
O43678	len=99	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P61583	len=75	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O43924	len=150	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
O95167	len=84	ExpAA=20.75	First60=20.75	PredHel=1	Topology=o20-39i
Q96LB2	len=322	ExpAA=157.04	First60=23.61	PredHel=7	Topology=o31-53i60-82o97-116i137-159o179-201i214-236o256-278i
Q8NGI9	len=324	ExpAA=149.41	First60=23.63	PredHel=7	Topology=o26-48i61-80o95-117i130-152o205-227i239-261o276-293i
Q8NGI3	len=324	ExpAA=132.16	First60=23.08	PredHel=5	Topology=o35-57i70-92o107-129i209-231o246-268i
Q5JUK9	len=113	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Q8IXF0	len=933	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Q96LA9	len=322	ExpAA=156.47	First60=23.64	PredHel=7	Topology=o30-52i59-81o96-118i139-161o181-203i216-238o253-275i
P60673	len=137	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q53H76	len=456	ExpAA=0.91	First60=0.11	PredHel=0	Topology=o
P51955	len=445	ExpAA=0.78	First60=0.00	PredHel=0	Topology=o
E9PQ53	len=114	ExpAA=21.49	First60=8.38	PredHel=1	Topology=o56-75i
P56556	len=128	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q70Z35	len=1606	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q6ZRI0	len=2925	ExpAA=0.82	First60=0.82	PredHel=0	Topology=o
Q8NGT7	len=310	ExpAA=151.57	First60=25.16	PredHel=7	Topology=o26-48i60-82o97-119i140-162o203-225i237-259o272-291i
P10244	len=700	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NH59	len=317	ExpAA=155.81	First60=22.30	PredHel=7	Topology=o26-48i61-83o116-138i143-165o202-224i237-259o274-296i
Q13423	len=1086	ExpAA=272.43	First60=0.04	PredHel=12	Topology=o476-498i505-524o529-551i558-580o595-617i622-644o649-666i702-724o739-761i774-796o816-838i851-873o
Q16654	len=411	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9ULL1	len=1385	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
A1L390	len=1219	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O00151	len=329	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96JY6	len=352	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O76036	len=304	ExpAA=19.63	First60=0.01	PredHel=1	Topology=o256-274i
Q9Y5F7	len=938	ExpAA=33.33	First60=11.36	PredHel=1	Topology=o690-712i
Q9UMS0	len=254	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Q9HCD5	len=579	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O15492	len=202	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9Y5H8	len=950	ExpAA=15.32	First60=0.30	PredHel=0	Topology=o
Q02045	len=173	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Q9NPC6	len=264	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NP98	len=299	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UBF9	len=498	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q13608	len=980	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Q8TBX8	len=421	ExpAA=0.85	First60=0.82	PredHel=0	Topology=o
P22695	len=453	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q02161	len=417	ExpAA=225.29	First60=32.92	PredHel=10	Topology=i12-34o76-98i110-132o136-158i170-187o202-224i237-259o292-314i327-349o364-386i
Q96N64	len=755	ExpAA=0.12	First60=0.00	PredHel=0	Topology=o
P61575	len=105	ExpAA=5.87	First60=0.00	PredHel=0	Topology=o
Q5TGL8	len=231	ExpAA=0.18	First60=0.18	PredHel=0	Topology=o
O60673	len=3130	ExpAA=0.27	First60=0.01	PredHel=0	Topology=o
Q5VTB9	len=566	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
P46019	len=1235	ExpAA=2.06	First60=0.11	PredHel=0	Topology=o
A5PL33	len=1030	ExpAA=0.13	First60=0.13	PredHel=0	Topology=o
O43474	len=513	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UIJ7	len=227	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Q9Y244	len=141	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O00217	len=210	ExpAA=0.06	First60=0.01	PredHel=0	Topology=o
O95255	len=1503	ExpAA=293.56	First60=21.11	PredHel=12	Topology=o36-55i68-90o105-122i135-152o167-186i307-329o349-366i424-446o451-470i536-558o991-1013i1069-1091o
Q6ZWE6	len=761	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O15018	len=2839	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
O60403	len=315	ExpAA=156.49	First60=24.67	PredHel=7	Topology=o25-47i60-82o92-114i141-163o195-217i238-260o275-294i
Q8NGR1	len=328	ExpAA=149.88	First60=15.98	PredHel=7	Topology=o43-65i77-96o116-138i158-180o222-244i256-278o293-310i
Q5JVF3	len=399	ExpAA=7.21	First60=0.00	PredHel=0	Topology=o
Q99959	len=881	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q5PT55	len=438	ExpAA=183.27	First60=4.14	PredHel=7	Topology=o177-199i206-228o234-256i269-291o306-328i333-355o396-418i
Q96I34	len=528	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NQV6	len=1147	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P59046	len=1061	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
P69849	len=1222	ExpAA=6.62	First60=3.38	PredHel=0	Topology=o
Q8NGI6	len=311	ExpAA=139.87	First60=23.34	PredHel=7	Topology=o26-48i61-83o98-120i141-163o205-224i237-259o270-289i
P22736	len=598	ExpAA=0.51	First60=0.00	PredHel=0	Topology=o
P39877	len=138	ExpAA=1.41	First60=1.37	PredHel=0	Topology=o
O75569	len=313	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
A8MPX8	len=630	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q8NGH5	len=318	ExpAA=145.25	First60=22.75	PredHel=7	Topology=o34-56i68-90o105-127i147-169o207-229i242-264o279-301i
Q8WZA6	len=343	ExpAA=152.57	First60=22.94	PredHel=7	Topology=i27-49o106-128i141-163o194-216i237-259o274-292i312-334o
Q96GX9	len=242	ExpAA=0.19	First60=0.00	PredHel=0	Topology=o
A1L4L8	len=177	ExpAA=0.24	First60=0.02	PredHel=0	Topology=o
P20142	len=388	ExpAA=1.14	First60=1.09	PredHel=0	Topology=o
O60906	len=423	ExpAA=61.82	First60=0.09	PredHel=3	Topology=o112-134i327-349o354-376i
P51956	len=506	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
P48146	len=333	ExpAA=156.11	First60=13.69	PredHel=7	Topology=o48-70i82-104o124-146i167-189o214-236i260-282o297-319i
P25786	len=263	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
P21757	len=451	ExpAA=22.34	First60=8.55	PredHel=1	Topology=i53-75o
Q9Y5P0	len=310	ExpAA=151.53	First60=24.16	PredHel=7	Topology=o25-47i59-81o101-123i143-165o197-219i239-258o268-290i
Q8NGU2	len=314	ExpAA=158.18	First60=23.90	PredHel=7	Topology=o25-47i60-82o97-119i140-162o198-220i241-260o270-292i
P30039	len=288	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
Q15119	len=407	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
P08651	len=508	ExpAA=0.17	First60=0.16	PredHel=0	Topology=o
Q9Y2B2	len=252	ExpAA=20.46	First60=18.62	PredHel=1	Topology=i5-22o
P35227	len=344	ExpAA=2.53	First60=2.51	PredHel=0	Topology=o
Q13523	len=1007	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
P16112	len=2530	ExpAA=0.10	First60=0.10	PredHel=0	Topology=o
P42356	len=2102	ExpAA=0.80	First60=0.01	PredHel=0	Topology=o
Q92963	len=219	ExpAA=0.05	First60=0.05	PredHel=0	Topology=o
Q4ADV7	len=1423	ExpAA=0.82	First60=0.05	PredHel=0	Topology=o
Q8N4Z0	len=218	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
O60216	len=631	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6DKI1	len=255	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q96AH8	len=199	ExpAA=2.28	First60=2.26	PredHel=0	Topology=o
P61006	len=207	ExpAA=0.75	First60=0.61	PredHel=0	Topology=o
P24928	len=1970	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O75916	len=674	ExpAA=0.10	First60=0.08	PredHel=0	Topology=o
Q9UQ26	len=1411	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q8TEU7	len=1601	ExpAA=0.41	First60=0.00	PredHel=0	Topology=o
O75154	len=756	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O00411	len=1230	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q9P2F6	len=1191	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q04671	len=838	ExpAA=252.67	First60=0.01	PredHel=12	Topology=i175-197o327-346i353-370o385-407i420-439o508-530i621-643o648-667i679-701o721-739i777-799o814-836i
Q96C74	len=230	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
P51449	len=518	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P22102	len=1010	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
P08575	len=1306	ExpAA=43.53	First60=0.46	PredHel=2	Topology=o580-602i841-863o
P23469	len=700	ExpAA=43.57	First60=13.98	PredHel=2	Topology=o47-69i323-345o
Q8N8N0	len=203	ExpAA=22.84	First60=0.00	PredHel=1	Topology=o165-187i
Q13308	len=1070	ExpAA=39.83	First60=17.44	PredHel=2	Topology=i13-35o704-726i
P49406	len=292	ExpAA=0.04	First60=0.02	PredHel=0	Topology=o
Q6ZRY4	len=209	ExpAA=0.21	First60=0.00	PredHel=0	Topology=o
Q16676	len=465	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Q5VTD9	len=330	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BW60	len=279	ExpAA=146.69	First60=23.12	PredHel=7	Topology=o20-42i63-85o108-130i137-154o174-196i203-221o231-253i
Q8NA97	len=138	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9H223	len=541	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q6ZNI0	len=430	ExpAA=4.19	First60=4.09	PredHel=0	Topology=o
P04211	len=117	ExpAA=0.22	First60=0.22	PredHel=0	Topology=o
A0JLT2	len=244	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O95402	len=600	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P01571	len=189	ExpAA=0.23	First60=0.23	PredHel=0	Topology=o
P19105	len=171	ExpAA=0.01	First60=0.00	PredHel=0	Topology=i
Q96EY8	len=250	ExpAA=0.08	First60=0.01	PredHel=0	Topology=o
O00470	len=390	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9UI95	len=211	ExpAA=0.95	First60=0.95	PredHel=0	Topology=o
P11169	len=496	ExpAA=237.74	First60=21.25	PredHel=10	Topology=i9-31o63-85i92-111o121-143i156-178o183-205i304-326o336-355i367-389o426-448i
O43324	len=174	ExpAA=2.12	First60=0.02	PredHel=0	Topology=o
Q9HBE4	len=162	ExpAA=6.94	First60=6.94	PredHel=0	Topology=o
Q9HBX8	len=967	ExpAA=156.88	First60=0.00	PredHel=7	Topology=o568-590i599-621o643-665i686-708o728-750i775-797o812-834i
Q8N6Y2	len=441	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P31785	len=369	ExpAA=23.35	First60=1.05	PredHel=1	Topology=o262-284i
Q16322	len=511	ExpAA=103.77	First60=0.00	PredHel=4	Topology=i217-239o271-293i375-397o436-458i
P42704	len=1394	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
Q6B0I6	len=523	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q5VYY2	len=423	ExpAA=12.06	First60=2.47	PredHel=0	Topology=o
O43365	len=443	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Q68CP4	len=663	ExpAA=253.28	First60=21.30	PredHel=12	Topology=i30-52o194-216i276-295o310-329i342-361o376-398i418-440o502-524i531-550o565-587i594-616o636-655i
Q9BUP3	len=242	ExpAA=0.12	First60=0.02	PredHel=0	Topology=o
P78552	len=427	ExpAA=35.97	First60=13.05	PredHel=2	Topology=i7-29o344-366i
P15884	len=667	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q99081	len=682	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UQL6	len=1122	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9H0V9	len=348	ExpAA=23.32	First60=0.02	PredHel=1	Topology=o314-336i
O95202	len=739	ExpAA=22.14	First60=0.00	PredHel=1	Topology=i206-228o
Q9ULT8	len=2610	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q6L8G4	len=156	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UK17	len=655	ExpAA=137.32	First60=8.63	PredHel=6	Topology=o180-202i222-244o254-276i322-341o351-370i382-404o
Q9UJP4	len=597	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
P57789	len=538	ExpAA=132.40	First60=1.33	PredHel=6	Topology=o71-93i154-173o183-202i233-255o270-292i299-321o
Q9BYK8	len=2649	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P51957	len=841	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9ULS6	len=477	ExpAA=104.78	First60=0.00	PredHel=4	Topology=i188-210o259-281i331-350o389-411i
Q15077	len=328	ExpAA=136.54	First60=21.57	PredHel=6	Topology=o27-49i62-84o104-122i143-165o194-216i241-258o
A0A0J9YX94	len=578	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NW61	len=149	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
A6NHA9	len=309	ExpAA=133.13	First60=24.03	PredHel=6	Topology=i25-47o103-125i138-160o195-217i238-260o270-287i
Q9H5I5	len=2752	ExpAA=769.09	First60=34.50	PredHel=35	Topology=o10-41i62-84o122-144i214-236o241-260i267-289o504-526i539-561o581-598i678-700o704-726i733-755o787-809i932-954o959-976i981-1003o1052-1074i1113-1135o1139-1156i1169-1191o1217-1239i1291-1310o1314-1336i1349-1371o1909-1931i1936-1955o1965-1987i2189-2211o2231-2253i2260-2282o2292-2314i2327-2344o2359-2378i2399-2421o2660-2682i
Q8NHP8	len=589	ExpAA=22.71	First60=22.71	PredHel=1	Topology=i20-42o
O00194	len=218	ExpAA=0.15	First60=0.09	PredHel=0	Topology=o
Q9H307	len=717	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O60671	len=282	ExpAA=0.16	First60=0.00	PredHel=0	Topology=o
Q15291	len=538	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
B2RC85	len=870	ExpAA=0.31	First60=0.00	PredHel=0	Topology=o
Q8IZP6	len=322	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NFJ5	len=357	ExpAA=154.29	First60=22.51	PredHel=7	Topology=o34-56i69-88o98-120i133-155o177-199i211-233o248-267i
A6NC62	len=111	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6ZS82	len=235	ExpAA=21.24	First60=0.00	PredHel=1	Topology=o212-234i
Q96D71	len=796	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
